id,progeny,DFF2013,DM2013,HT2013,BIO2013,YLKGHA2013,HI2013,x100SDWT2013,DFF2014,DM2014,PHAVG2014,BIO2014,YLKGHA2014,x100SDWT2014,HI2014
1006,ICCML11059,44.01958466,89.08338165,33.86510468,187.5000763,1322.089722,0.628292978,19.9838028,48.88936996,79.00000763,32.68669891,166.83255,725.9597778,22.70470619,0.52296418
1007,ICCML11060,39.1762619,94.23497772,46.04013824,230.1538696,1866.479736,0.726304233,23.27439308,48.10392761,85.00000763,37.33282471,291.2374573,986.0222778,22.71730995,0.405687541
1008,ICCML11062,51.1762619,94.23497772,35.04013824,340.235321,2221.999756,0.584186196,17.73439407,49.91618729,80.99999237,35.78617477,380.2099915,814.1742554,15.05061626,0.256100416
1009,ICCML11063,49.7507515,96.32593536,35.35823441,282.3529358,1666.5,0.531279027,19.48757172,48.88936996,85.00000763,39.02003479,376.83255,1937.891479,22.93097687,0.615155697
1010,ICCML11064,49.1240387,92.02274323,39.50369644,195.0000458,1488.851196,0.68714875,26.43810272,53.15756607,89.00000763,38.94194412,416.3032532,1649.672974,25.23627472,0.481535614
1011,ICCML11065,36.38516617,93.87113953,34.1852951,278.7690735,1555.400146,0.511339903,21.36503601,45.88936996,79.00000763,39.35336685,336.83255,1799.863403,21.33030319,0.639767468
1012,ICCML11066,48.1240387,91.02274323,38.17036057,281.7391968,1833.150146,0.585566103,18.52810287,47.13074493,84.99998474,32.2703476,280.3100586,1407.853394,19.33327103,0.604359388
1013,ICCML11067,39.38516617,90.87113953,34.85196304,191.9998322,1377.640137,0.654965699,27.86503601,49.88936996,80.00000763,39.35336685,221.83255,820.838501,32.36423492,0.442691505
1014,ICCML11068,49.96735764,96.90145874,40.70620346,219.3333588,1399.859985,0.572423339,20.48611641,50.91618729,85.99999237,32.4528389,260.2099915,1032.670166,19.39394188,0.475697577
1015,ICCML11069,36.07181168,88.29561615,30.6052494,296.0000916,2177.560303,0.660728157,20.63354683,52.10392761,82.00000763,28.99948883,256.2374573,948.8704834,19.30259323,0.44422099
1016,ICCML11070,47.1240387,96.02274323,40.17036057,285.157959,1610.950073,0.508408189,22.48810387,50.15756607,83.00000763,29.94194221,276.3032532,1232.006714,19.10931969,0.538226068
1017,ICCML11071,48.96735764,97.90145874,38.3728714,327.1579285,1999.800049,0.548148334,22.86611557,51.75527191,88,35.09319687,289.7890625,981.4406738,23.62032318,0.407910496
1018,ICCML11072,49.1240387,99.02274323,40.8370285,272.6316528,1877.590088,0.619802177,19.47810364,51.88936996,90.00000763,37.02003479,351.83255,1216.013672,22.97619629,0.411868125
1019,ICCML11073,49.50502396,95.26475525,30.40274048,159.8332214,1055.449829,0.598784447,19.3214283,51.15756607,85.00000763,37.27527618,516.3032227,2165.133301,19.71870995,0.509857953
1020,ICCML11074,49.01958466,95.08338165,40.53177261,273.750061,1866.479736,0.607324898,19.3438015,50.13074493,82.99998474,31.60368156,240.3100433,906.6372681,21.01168442,0.454252303
