id,progeny,pop,FT_fi_l,FT_ri_l,FT_fi_s,FT_ri_s,GI_fi_s,GS_ri_s,Matruity_fi_s,Matruity_ri_s,GY_fi_s,GY_ri_s,SS_fi_s,SS_ri_s
231,MAGIC258,MAGIC,66,76,43,41,3,2,78,69,854.07,559.66,12.6,15.05
232,MAGIC259,MAGIC,46,46,40,38,2,2,78,69,1903.12,550.2,23.95,26.3
233,MAGIC260,MAGIC,47,56,39,40,2,2,74,90,1398.43,352.66,18.8,19.4
234,MAGIC262,MAGIC,56,77,43,40,2,2,99,85,1855.99,605.13,19.9,21.8
235,MAGIC263,MAGIC,47,48,39,39,3,2,103,99,543.64,314.08,20.4,22.7
236,MAGIC264,MAGIC,43,47,37,37,2,2,91,69,957.43,429.77,19.55,18.65
237,MAGIC265,MAGIC,53,56,42,42,2,2,99,78,1386.98,386.95,11.85,14.25
238,MAGIC266,MAGIC,51,56,41,40,2,2,109,85,1445.53,383.39,11.7,15.4
239,MAGIC267,MAGIC,67,79,43,41,2,2,78,90,774.12,420.67,9.1,11.95
240,MAGIC268,MAGIC,76,84,41,40,2,2,78,76,2330.94,547.72,21.25,26.2
241,MAGIC269,MAGIC,61,69,42,42,3,2,82,99,1458.71,564.03,13.8,12.4
242,MAGIC270,MAGIC,47,56,40,38,3,2,78,85,2258.89,572.77,14.45,16.85
243,MAGIC271,MAGIC,55,56,38,36,2,2,76,94,1089.34,468.46,18.75,17.51
244,MAGIC272,MAGIC,70,77,41,41,2,2,85,85,1549.35,444.68,12.9,16.75
245,MAGIC273,MAGIC,54,85,40,41,2,2,89,103,694.4,365.97,16.55,14.6
246,MAGIC274,MAGIC,52,49,42,41,2,2,85,120,1576.46,526.84,24,22
247,MAGIC275,MAGIC,55,54,41,39,3,2,72,74,1217.07,650.92,12.1,12.2
248,MAGIC276,MAGIC,46,46,41,39,2,2,85,99,455.22,427.82,12.3,16
249,MAGIC277,MAGIC,64,70,44,42,2,2,89,95,1123.82,685.27,13.8,16.3
250,MAGIC278,MAGIC,46,58,46,41,2,2,85,117,1636.7,851.33,16.55,20.6
251,MAGIC279,MAGIC,49,63,37,36,3,2,72,69,1088.92,448.89,17.5,17.6
252,MAGIC280,MAGIC,45,70,36,35,1,2,72,86,1999.84,570.45,23,29.2
253,MAGIC281,MAGIC,64,76,40,37,1,1,85,94,1078.35,321.29,15,18.75
254,MAGIC282,MAGIC,64,87,50,56,2,NA,92,NA,2500.1,NA,12.8,NA
255,MAGIC283,MAGIC,61,63,39,39,2,2,85,99,1946.02,451.76,15.85,17.65
256,MAGIC284,MAGIC,55,55,39,39,1,1,72,86,2188.56,535.03,18.35,21.8
257,MAGIC285,MAGIC,58,70,46,44,3,2,106,99,1165.47,476.32,19.1,22.15
258,MAGIC286,MAGIC,55,68,38,36,3,2,85,78,2097.76,621.7,23.1,26.05
259,MAGIC287,MAGIC,48,56,37,37,1,1,78,85,1585.36,542.93,15.05,15.95
260,MAGIC288,MAGIC,73,69,39,37,2,1,78,69,1612.96,575.38,17.45,17.5
261,MAGIC289,MAGIC,54,46,37,35,2,2,72,65,360.49,512.13,11.9,13
262,MAGIC290,MAGIC,56,69,47,47,2,2,95,120,2527.95,671.67,17.2,21.55
263,MAGIC291,MAGIC,70,84,42,41,2,2,95,89,835.28,414.93,7.5,11
264,MAGIC292,MAGIC,64,74,42,40,4,2,78,72,2537.74,417.48,15,16.15
265,MAGIC293,MAGIC,70,88,48,43,3,2,106,120,2003.1,392.69,14.5,16.05
266,MAGIC294,MAGIC,70,59,35,34,2,1,72,65,552.68,627.21,8.9,18.7
267,MAGIC295,MAGIC,62,NA,52,42,2,1,113,120,988.42,176.04,11.55,14.41
268,MAGIC296,MAGIC,58,63,43,39,3,2,85,91,1431.99,275.75,19.15,22.35
269,MAGIC297,MAGIC,55,49,43,43,3,2,85,103,730.35,288.47,9.4,12.3
270,MAGIC298,MAGIC,47,47,38,38,2,2,72,69,2288.41,572.71,23.25,20.2
271,MAGIC300,MAGIC,70,70,42,42,2,NA,70,70,1806.18,429.12,19,21.6
272,MAGIC301,MAGIC,61,NA,50,47,2,1,113,103,980.59,48.54,12.35,10.31
273,MAGIC302,MAGIC,60,NA,48,47,3,2,106,106,982.88,526.45,17.15,17
274,MAGIC303,MAGIC,NA,NA,47,47,4,NA,78,NA,2182.2,NA,19.1,NA
275,MAGIC304,MAGIC,NA,NA,47,49,2,NA,97,NA,2371.65,NA,18.9,NA
276,MAGIC305,MAGIC,49,NA,43,39,3,2,106,99,407.07,250.51,8.4,14.8
277,MAGIC307,MAGIC,NA,NA,52,48,3,NA,106,NA,118.4,571.92,18,35.4
278,MAGIC311,MAGIC,56,NA,40,40,3,1,82,92,1359.58,479.61,20.55,23.65
279,MAGIC312,MAGIC,90,NA,51,51,2,NA,113,117,5.09,NA,NA,NA
280,MAGIC313,MAGIC,56,NA,45,42,2,NA,78,106,NA,757.78,NA,21.9
281,MAGIC314,MAGIC,NA,NA,47,48,3,NA,106,113,2916.3,513.08,15.6,16.4
282,MAGIC315,MAGIC,46,NA,36,34,2,2,72,69,826.96,441.65,16.5,16.6
283,MAGIC317,MAGIC,NA,NA,46,46,4,NA,106,113,1498.34,574.08,28.3,29.8
